Id,JobTitle,Company,Location,Salary,TypeofJob,Description,Require,MoreInfo
0,IT PROJECT MANAGER,Yes4All Trading Services Company Limited,"Quận Phú Nhuận, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"Yes4All is one of the leading brands for home sporting goods & furniture in the e-commerce market. Founded in 2010, we have strived to be in the top 1...","Project Manager, Business Analyst",https://topdev.vn/viec-lam/it-project-manager-yes4all-trading-services-company-limited-2027143
1,"HOT KMS Danang | One-day Hiring (Fresher Java, .NET, Tester, Low-code Engineer)",KMS Technology,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ IT, Gia công phần mềm, Phần Mềm, Product",KMS ONE-DAY HIRING: a special IT Fresher recruitment campaign from KMS Technology. Not a 2-round interview.  Not weeks of process 'till you're emplo...,"Java, .NET, Tester, QA, QC",https://topdev.vn/viec-lam/kms-danang-one-day-hiring-fresher-java-net-tester-low-code-engineer-kms-technology-2027141
2,HOT Automation Engineer (Selenium C#),ORIENT SOFTWARE DEVELOPMENT CORPORATION,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Gia công phần mềm,,"C#, QA, QC, Automation Tester, Selenium",https://topdev.vn/viec-lam/automation-engineer-selenium-c-orient-software-development-corporation-2027142
3,HOT UI Designer for PayPense,HRS GROUP,"Quận 12, Hồ Chí Minh","1,500 - 3,000 USD",Phần Mềm,,UI Design,https://topdev.vn/viec-lam/ui-designer-for-paypense-hrs-group-2027140
4,HOT Senior Java Back-end Developer - Paypense (m/f/d),HRS GROUP,"Quận 12, Hồ Chí Minh","2,000 - 3,000 USD",Phần Mềm,"POSITION Within HRS, the Payment Solutions team is transforming the way corporations globally look to payments as a critical and transformative busin...","Java, Back-End",https://topdev.vn/viec-lam/senior-java-back-end-developer-paypense-m-f-d-hrs-group-2027139
5,[ĐÀ NẴNG] Senior software Programmer (Java/JavaScript/NodeJS/MySQL),NTT DATA Vietnam,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",,"AngularJS, Oracle, J2EE, Java, JavaScript, MySQL, JQuery, NodeJS, Spring",https://topdev.vn/viec-lam/da-nang-senior-software-programmer-java-javascript-nodejs-mysql-ntt-data-vietnam-2026824
6,[ĐÀ NẴNG ] Fresher/Junior Software Programmer (Java/.NET/PHP),NTT DATA Vietnam,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",,"PHP, Java, .NET",https://topdev.vn/viec-lam/da-nang-fresher-junior-software-programmer-java-net-php-ntt-data-vietnam-2026820
7,HOT [ĐÀ NẴNG] Leader Tester/QC/QA,NTT DATA Vietnam,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",,"Lifecycle (sdlc), QC, Tester, QA, Automation Tester, Manual Tester",https://topdev.vn/viec-lam/da-nang-leader-tester-qc-qa-ntt-data-vietnam-2026825
8,Java Software Programmer,NTT DATA Vietnam,"Quận Cầu Giấy, Hà Nội - Quận 1, Hồ Chí Minh - Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",,Java,https://topdev.vn/viec-lam/java-software-programmer-ntt-data-vietnam-2026827
9,"Web Developer (ASP.NET) | Up to $2,000",Công ty Cổ phần Công Nghệ Vũ Thảo,"Quận Tân Bình, Hồ Chí Minh","Lên tới 2,000 USD",Dịch vụ doanh nghiệp,Số lượng cần tuyển: 8,"ASP.NET, C#, .NET, JavaScript, ReactJS",https://topdev.vn/viec-lam/web-developer-asp-net-up-to-2-000-cong-ty-co-phan-cong-nghe-vu-thao-2026921
10,[HÀ NỘI] Senior System Analyst,NTT DATA Vietnam,"Quận Cầu Giấy, Hà Nội",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",,System Admin,https://topdev.vn/viec-lam/ha-noi-senior-system-analyst-ntt-data-vietnam-2026828
11,CHUYÊN VIÊN KIỂM THỬ PHẦN MỀM (TESTER),Công ty Cổ phần Công Nghệ Vũ Thảo,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Dịch vụ doanh nghiệp,,Tester,https://topdev.vn/viec-lam/chuyen-vien-kiem-thu-phan-mem-tester-cong-ty-co-phan-cong-nghe-vu-thao-2026927
12,Senior Line Manager,SHIFT ASIA,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,SHIFT ASIA is a leading company in Software Testing & Development with prominent market share in Japan. With the growth of the business and the transf...,"Software Developer, Angular, JavaScript, ReactJS, Japanese, English",https://topdev.vn/viec-lam/senior-line-manager-shift-asia-2026926
13,Mobile Developer (Java/Kotlin/Swift/Objective C),Công ty CP CQ TDT Asia,"Quận Nam Từ Liêm, Quận Nam Từ Liêm - Hà Nội","Lên tới 2,000 USD",Phần Mềm,,"Swift, Android, iOS, Java, Objective-C, Mobile, Kotlin",https://topdev.vn/viec-lam/mobile-developer-java-kotlin-swift-objective-c-cong-ty-cp-cq-tdt-asia-2026923
