JobTitle,Company,Location,Salary,TypeofJob,Skills,MoreInfo,clean_jobtitle,Label
IT PROJECT MANAGER,Yes4All Trading Services Company Limited,"Quận Phú Nhuận, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"Project Manager, Business Analyst",https://topdev.vn/viec-lam/it-project-manager-yes4all-trading-services-company-limited-2027143,project manager,Android
"HOT KMS Danang | One-day Hiring (Fresher Java, .NET, Tester, Low-code Engineer)",KMS Technology,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ IT, Gia công phần mềm, Phần Mềm, Product","Java, .NET, Tester, QA, QC",https://topdev.vn/viec-lam/kms-danang-one-day-hiring-fresher-java-net-tester-low-code-engineer-kms-technology-2027141,kms danang one-day hiring ( java .net tester low-code ),Android
HOT Automation Engineer (Selenium C#),ORIENT SOFTWARE DEVELOPMENT CORPORATION,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Gia công phần mềm,"C#, QA, QC, Automation Tester, Selenium",https://topdev.vn/viec-lam/automation-engineer-selenium-c-orient-software-development-corporation-2027142,automation ( selenium c # ),Android
HOT UI Designer for PayPense,HRS GROUP,"Quận 12, Hồ Chí Minh","1,500 - 3,000 USD",Phần Mềm,UI Design,https://topdev.vn/viec-lam/ui-designer-for-paypense-hrs-group-2027140,ui designer paypense,Android
HOT Senior Java Back-end Developer - Paypense (m/f/d),HRS GROUP,"Quận 12, Hồ Chí Minh","2,000 - 3,000 USD",Phần Mềm,"Java, Back-End",https://topdev.vn/viec-lam/senior-java-back-end-developer-paypense-m-f-d-hrs-group-2027139,java back-end - paypense ( m/f/d ),FrontEnd
[ĐÀ NẴNG] Senior software Programmer (Java/JavaScript/NodeJS/MySQL),NTT DATA Vietnam,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT","AngularJS, Oracle, J2EE, Java, JavaScript, MySQL, JQuery, NodeJS, Spring",https://topdev.vn/viec-lam/da-nang-senior-software-programmer-java-javascript-nodejs-mysql-ntt-data-vietnam-2026824,software programmer ( java/javascript/nodejs/mysql ),Android
[ĐÀ NẴNG ] Fresher/Junior Software Programmer (Java/.NET/PHP),NTT DATA Vietnam,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT","PHP, Java, .NET",https://topdev.vn/viec-lam/da-nang-fresher-junior-software-programmer-java-net-php-ntt-data-vietnam-2026820,/ software programmer ( java/.net/php ),Android
HOT [ĐÀ NẴNG] Leader Tester/QC/QA,NTT DATA Vietnam,"Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT","Lifecycle (sdlc), QC, Tester, QA, Automation Tester, Manual Tester",https://topdev.vn/viec-lam/da-nang-leader-tester-qc-qa-ntt-data-vietnam-2026825,tester/qc/Quality Assurance,Android
Java Software Programmer,NTT DATA Vietnam,"Quận Cầu Giấy, Hà Nội - Quận 1, Hồ Chí Minh - Quận Hải Châu, Đà Nẵng",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",Java,https://topdev.vn/viec-lam/java-software-programmer-ntt-data-vietnam-2026827,java software programmer,Android
"Web Developer (ASP.NET) | Up to $2,000",Công ty Cổ phần Công Nghệ Vũ Thảo,"Quận Tân Bình, Hồ Chí Minh","Lên tới 2,000 USD",Dịch vụ doanh nghiệp,"ASP.NET, C#, .NET, JavaScript, ReactJS",https://topdev.vn/viec-lam/web-developer-asp-net-up-to-2-000-cong-ty-co-phan-cong-nghe-vu-thao-2026921,web ( asp.net ),FullStack
[HÀ NỘI] Senior System Analyst,NTT DATA Vietnam,"Quận Cầu Giấy, Hà Nội",Thương lượng,"Dịch vụ doanh nghiệp, Dịch vụ IT",System Admin,https://topdev.vn/viec-lam/ha-noi-senior-system-analyst-ntt-data-vietnam-2026828,system analyst,Android
